,# Playlist created by Chang Hung-kuang
★★★★★寧波 🇨🇳️★★★★★,http://flv4mp4.people.com.cn/videofile2/pvmsvideo/2015/8/25/WeiQingCheng_e219e4e5df4e4a1e2c532fc9a1cf0772_android_c.mp4
宁波新闻综合频道高清NBTV-1,http://www.372583307.top:4022/udp/233.50.201.168:5140
宁波经济生活频道高清NBTV-2,http://www.372583307.top:4022/udp/233.50.201.178:5140
宁波都市文体频道高清NBTV-3,http://www.372583307.top:4022/udp/233.50.201.179:5140
宁波影视频道高清NBTV-4,http://www.372583307.top:4022/udp/233.50.201.180:5140
宁波少儿频道高清NBTV-5,http://www.372583307.top:4022/udp/233.50.201.181:5140
象山電視臺,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
NBTV-1,http://www.chengxueguo.cn:8888/udp/233.50.201.168:5140
NBTV-2,http://www.chengxueguo.cn:8888/udp/233.50.201.178:5140
NBTV-3,http://www.chengxueguo.cn:8888/udp/233.50.200.28:5140
NBTV-4,http://www.chengxueguo.cn:8888/udp/233.50.201.180:5140
NBTV-5,http://www.chengxueguo.cn:8888/udp/233.50.201.181:5140
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
NBTV-1,http://183.129.242.178:3333/tsfile/live/1010_1.m3u8
NBTV-2,http://183.129.242.178:3333/tsfile/live/1011_1.m3u8
NBTV-3,http://183.129.242.178:3333/tsfile/live/1012_1.m3u8
NBTV-4,http://183.129.242.178:3333/tsfile/live/1013_1.m3u8
NBTV-5,http://183.129.242.178:3333/tsfile/live/1014_1.m3u8
鄞州1,http://play-a2.quklive.com/live/1668501533304136.m3u8
鄞州2,http://pili-publish.yzxw.newaircloud.com/newaircloud-yzxw/yzxw_20190925090936.m3u8
奉化新闻综合,https://live1.fhtv.net.cn/zhzb/sd/live.m3u8
奉化生活娱乐,https://live1.fhtv.net.cn/shys/sd/live.m3u8
镇海综合频道,http://pluslive.zhxww.net/channel1/sd/live.m3u8
北仑电视台,http://play-sh.quklive.com/live/1626327731714170.m3u8
宁海新闻综合,http://mmitv.top/test/ady.php?id=1423
★★★★★浙江 🇨🇳️★★★★★,https://upload.wikimedia.org/wikipedia/commons/transcoded/b/be/National_anthem_of_the_Republic_of_China_%28Taiwan%29_%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B%E5%9C%8B%E6%AD%8C%28%E6%BC%94%E5%A5%8F%E7%89%88%29.ogg/National_anthem_of_the_Republic_of_China_%28Taiwan%29_%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B%E5%9C%8B%E6%AD%8C%28%E6%BC%94%E5%A5%8F%E7%89%88%29.ogg.mp3
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225798/1.m3u8
浙江国际 (1080p),http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿 (1080p),http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江影视 (1080p),http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
浙江教科影视 (1080p),http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲 (1080p),http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江留学 (1080p),http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8
浙江经济生活 (1080p),http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江 (1080p),http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
舟山新闻综合,http://live1.plus.wifizs.cn/xwzh/sd/live.m3u8?zzhed
舟山公共生活,http://live1.plus.wifizs.cn/ggsh/sd/live.m3u8?zzhed
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8?zzhed
舟山-普陀综合,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8
杭州-桐庐综合,http://livetongl.chinamcache.com/live/tlzb01.m3u8?txSecret=0e344d60c8f0ce16b57102ae81d10d6a&txTime=5fd316c1
杭州综合,http://183.129.242.178:3333/tsfile/live/1015_1.m3u8
杭州综合频道,http://www.372583307.top:4022/udp/233.50.201.173:5140
杭州明珠频道,http://183.129.242.178:3333/tsfile/live/1016_1.m3u8
杭州生活频道,http://183.129.242.178:3333/tsfile/live/1016_1.m3u8
杭州影视频道,http://183.129.242.178:3333/tsfile/live/1018_1.m3u8
杭州青少体育,http://183.129.242.178:3333/tsfile/live/1019_1.m3u8
杭州导视,http://183.129.242.178:3333/tsfile/live/1020_1.m3u8
杭州综合,http://live.cooltv.top/tv/hz.php?id=16
杭州明珠,http://live.cooltv.top/tv/hz.php?id=17
杭州生活,http://live.cooltv.top/tv/hz.php?id=18
杭州影视,http://live.cooltv.top/tv/hz.php?id=21
杭州青少体育,http://live.cooltv.top/tv/hz.php?id=20
杭州导视,http://live.cooltv.top/tv/hz.php?id=22
★★★★★央視 🇨🇳 ★★★★★,https://upload.wikimedia.org/wikipedia/commons/0/08/National_Flag_Anthem_of_the_Republic_of_China%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B%E5%9C%8B%E6%97%97%E6%AD%8C_%28%E6%BC%94%E5%A5%8F%E7%89%88%29.oga
CCTV-1综合,https://cntv.sbs/tv?auth=230813&id=cctv1
CCTV-2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV-2财经,https://cntv.sbs/tv?auth=230813&id=cctv2
CCTV-3综艺,http://113.105.111.79:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4中文国际,http://103.76.61.2:808/hls/127/index.m3u8
CCTV-5体育,http://175.13.226.6:8888/udp/239.76.246.155:1234
CCTV-5+体育赛事,http://103.76.61.2:808/hls/8/index.m3u8
CCTV-6电影,http://111.20.40.167/PLTV/88888893/224/3221226393/index.m3u8
CCTV-7国防军事,http://103.76.61.2:808/hls/3/index.m3u8
CCTV-8电视剧,http://113.105.111.79:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9纪录,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV-10科教,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV-11戏曲,http://175.13.226.6:8888/udp/239.76.252.251:9000
CCTV-12社会与法,http://103.76.61.2:808/hls/6/index.m3u8
CCTV-13新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-14少儿,http://175.13.226.6:8888/udp/239.76.246.164:1234
CCTV-15音乐,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV-16奥林,http://175.13.226.6:8888/udp/239.76.247.200:1234
